fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
29,19,5,3,13,13,570,607,31,13,8,6,11,14,9,13,1,3,5,9,15,14,46,50,São Paulo,Chapecoense,4,0,,,,11,2019-07-22,20:00,108
22,22,3,4,20,12,545,496,13,14,3,6,22,16,12,20,1,0,6,14,18,23,43,52,Palmeiras,Vasco da Gama,1,1,,,,12,2019-07-27,17:00,109
20,14,4,2,16,8,806,444,16,14,9,7,11,10,5,35,0,0,7,7,13,17,27,30,Fluminense,São Paulo,1,2,,,,12,2019-07-27,19:00,110
11,12,6,6,22,20,716,628,21,16,7,12,24,14,19,16,1,0,5,5,24,29,64,56,Internacional,Ceará,1,0,,,,12,2019-07-27,19:00,111
11,11,1,5,18,14,521,725,11,14,11,13,13,13,9,16,2,0,13,8,22,16,50,69,Cruzeiro,Atl Paranaense,0,2,,,,12,2019-07-27,19:00,112
16,15,10,5,33,18,590,629,18,23,13,12,17,18,12,27,0,1,8,9,30,24,66,63,Chapecoense,Bahia,0,0,,,,12,2019-07-28,11:00,113
9,13,15,4,30,13,675,529,25,22,13,13,10,14,18,36,4,0,6,10,25,14,49,48,Santos,Avaí,3,1,,,,12,2019-07-28,16:00,114
23,16,5,4,18,14,663,483,17,12,11,10,18,16,18,17,0,3,9,11,14,26,58,41,Flamengo,Botafogo (RJ),3,2,,,,12,2019-07-28,16:00,115
14,9,7,4,23,10,554,658,16,6,12,5,12,9,20,19,1,3,6,11,12,20,46,51,Goiás,Atlético Mineiro,0,0,,,,12,2019-07-28,19:00,116
18,16,1,1,19,15,549,599,9,10,3,6,16,12,11,17,2,1,12,9,14,16,57,51,Fortaleza,Corinthians,1,3,,,,12,2019-07-28,19:00,117
13,13,2,6,11,16,521,710,22,17,4,1,20,16,24,13,0,2,9,6,18,18,54,58,CSA,Grêmio,0,0,,,,12,2019-07-29,20:00,118
8,12,8,5,19,13,838,584,19,12,10,14,18,15,17,21,0,0,4,13,15,9,32,49,Fluminense,Internacional,2,1,,,,13,2019-08-03,19:00,119
