player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Yuri Oliveira Lima,6.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,Fluminense,211
Nino,33.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,Fluminense,211
Gilberto,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,,,Fluminense,211
Muriel Becker,27.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Fluminense,211
Luiz Adriano,10.0,br BRA,FW,70.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,,,Palmeiras,212
Miguel Borja,9.0,co COL,FW,20.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,Palmeiras,212
Hyoran,28.0,br BRA,AM,45.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,,Palmeiras,212
Willian,29.0,br BRA,"FW,MF",45.0,1,0,0,0,2,2,0,0,1,2,0,1,1,0,0,,,Palmeiras,212
Gustavo Scarpa,14.0,br BRA,AM,56.0,0,0,0,0,2,2,0,0,1,1,0,2,0,0,0,,,Palmeiras,212
Lucas Lima,20.0,br BRA,MF,34.0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,,,Palmeiras,212
Dudu,7.0,br BRA,AM,90.0,0,0,0,0,1,0,0,0,2,7,0,3,0,0,0,,,Palmeiras,212
Felipe Melo,30.0,br BRA,DM,90.0,0,0,0,0,2,0,0,0,4,4,0,0,1,0,0,,,Palmeiras,212
Bruno Henrique,19.0,br BRA,DM,90.0,0,0,0,0,2,0,0,0,1,2,0,2,2,0,0,,,Palmeiras,212
Diogo Barbosa,6.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,,,Palmeiras,212
Vitor Hugo,4.0,br BRA,CB,90.0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,0,,,Palmeiras,212
Gustavo Gómez,15.0,py PAR,CB,90.0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,,,Palmeiras,212
Marcos Rocha,2.0,br BRA,RB,90.0,0,0,0,0,0,0,0,0,1,2,0,4,2,3,0,,,Palmeiras,212
Wéverton,21.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Palmeiras,212
Patrick,88.0,br BRA,FW,90.0,1,0,0,0,2,2,1,0,3,1,0,2,3,1,0,,,Internacional,212
Rafael Sóbis,23.0,br BRA,FW,76.0,0,0,0,0,4,1,1,0,3,0,0,5,0,0,0,,,Internacional,212
Pedro Lucas,41.0,br BRA,FW,14.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Internacional,212
Nicolás López,7.0,uy URU,FW,90.0,0,1,0,0,4,0,0,0,3,1,0,5,2,1,0,,,Internacional,212
Nonato,33.0,br BRA,CM,60.0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,0,,,Internacional,212
Wellington Silva,11.0,br BRA,"FW,MF",30.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Internacional,212
Rodrigo Lindoso,19.0,br BRA,CM,90.0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,,,Internacional,212
Edenílson,8.0,br BRA,CM,90.0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,,,Internacional,212
Uendel,6.0,br BRA,LB,90.0,0,0,0,0,2,1,0,0,1,1,0,7,0,2,0,,,Internacional,212
Víctor Cuesta,15.0,ar ARG,CB,90.0,0,0,0,0,1,1,1,0,2,3,0,0,0,2,0,,,Internacional,212
Bruno Fuchs,45.0,br BRA,CB,83.0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,,,Internacional,212
Willian Klaus,44.0,br BRA,DF,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Internacional,212
Heitor,31.0,br BRA,RB,90.0,0,0,0,0,1,1,0,0,1,1,0,4,0,1,0,,,Internacional,212
Marcelo Lomba,12.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Internacional,212
Dalberto,29.0,br BRA,FW,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Arthur,27.0,br BRA,"FW,MF",80.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Everaldo Stum,77.0,br BRA,FW,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Bruno Pacheco,6.0,br BRA,LM,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Renato Kayser,9.0,br BRA,"FW,MF",12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Elicarlos,86.0,br BRA,CM,90.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,Chapecoense,213
Fernando Camilo Farias,88.0,br BRA,CM,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Augusto César Moreira,20.0,br BRA,MF,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Márcio Araújo,8.0,br BRA,RM,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
Roberto Heuchayer,90.0,br BRA,LB,90.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chapecoense,213
